Dataset,Task,Fold,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Detection,Load_1HP,TabNet-ResNet1D,0.5,0.0,0.9375
CWRU_12k,Detection,Load_2HP,Random Forest,0.5765625,0.25925925925925924,0.9375
CWRU_12k,Detection,Load_2HP,SVM (RBF),0.5,0.0,0.5056835937499999
CWRU_12k,Detection,Load_2HP,TabNet,0.9375,0.6666666666666666,0.9375
CWRU_12k,Detection,Load_2HP,FT-Transformer,0.5,0.0,0.9375
CWRU_12k,Detection,Load_2HP,TabNet-ResNet1D,0.5,0.0,0.9375
CWRU_12k,Detection,Load_3HP,Random Forest,0.70234375,0.4805194805194805,0.9375
CWRU_12k,Detection,Load_3HP,SVM (RBF),0.5,0.0,0.4736328125
CWRU_12k,Detection,Load_3HP,TabNet,0.9375,0.6666666666666666,0.9375
CWRU_12k,Detection,Load_3HP,FT-Transformer,0.9375,0.6666666666666666,0.9375
CWRU_12k,Detection,Load_3HP,TabNet-ResNet1D,0.5,0.0,0.9375
CWRU_12k,Diagnosis,Load_0HP,Random Forest,0.6253508771929824,0.6309825824615568,0.9430467963386727
CWRU_12k,Diagnosis,Load_0HP,SVM (RBF),0.5235087719298245,0.5371681375855509,0.902676519196542
CWRU_12k,Diagnosis,Load_0HP,TabNet,0.6950292397660818,0.6274857227701379,0.9481107297228579
CWRU_12k,Diagnosis,Load_0HP,FT-Transformer,0.5145029239766081,0.48791576295821093,0.8314934655479277
CWRU_12k,Diagnosis,Load_0HP,TabNet-ResNet1D,0.5644444444444444,0.5408074584240388,0.8971670353419782
CWRU_12k,Diagnosis,Load_1HP,Random Forest,0.714327485380117,0.6980455485648915,0.9647658846919303
CWRU_12k,Diagnosis,Load_1HP,SVM (RBF),0.6223391812865497,0.6211703184565429,0.931601480991087
CWRU_12k,Diagnosis,Load_1HP,TabNet,0.7433333333333334,0.6765766917447905,0.9653696672163171
CWRU_12k,Diagnosis,Load_1HP,FT-Transformer,0.680233918128655,0.6127835616610093,0.9536999399266861
CWRU_12k,Diagnosis,Load_1HP,TabNet-ResNet1D,0.6965497076023393,0.6303181133679667,0.9621604059648305
CWRU_12k,Diagnosis,Load_2HP,Random Forest,0.7312280701754386,0.7270076489345836,0.962721214870393
CWRU_12k,Diagnosis,Load_2HP,SVM (RBF),0.6397660818713449,0.6385714428986158,0.9276356083546858
CWRU_12k,Diagnosis,Load_2HP,TabNet,0.7656725146198831,0.6989522690609133,0.9658179002129128
CWRU_12k,Diagnosis,Load_2HP,FT-Transformer,0.721812865497076,0.6546791580824527,0.9643132762023857
CWRU_12k,Diagnosis,Load_2HP,TabNet-ResNet1D,0.7440935672514619,0.6769690412248759,0.9639850123211593
CWRU_12k,Diagnosis,Load_3HP,Random Forest,0.6551461988304094,0.6494460201258231,0.9546374044241748
CWRU_12k,Diagnosis,Load_3HP,SVM (RBF),0.6443859649122807,0.6413166030187306,0.9211733155974027
