Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,SVM (RBF),0.9333333333333332,0.7222222222222222,0.0
HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,Multi-Head DL (MLP),0.8333333333333334,0.8222222222222223,0.9166666666666666
HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,Multi-Head DL (TABNET),0.6666666666666666,0.5923520923520923,0.9533333333333333
HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,SVM (RBF),0.8333333333333334,0.5333333333333333,0.0
HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,Multi-Head DL (MLP),0.8333333333333334,0.8222222222222223,1.0
HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,Multi-Head DL (TABNET),0.7666666666666666,0.7340930674264007,0.9950000000000001
HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,Multi-Head DL (MLP),0.7999999999999999,0.7802197802197802,0.9733333333333333
HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,Multi-Head DL (TABNET),0.9666666666666667,0.9665831244778613,1.0
HUST_Gearbox,Diagnosis,Cond_L3_VS_0_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L3_VS_0_40_0,SVM (RBF),0.9666666666666667,0.9665831244778612,0.0
HUST_Gearbox,Diagnosis,Cond_L3_VS_0_40_0,Multi-Head DL (MLP),0.9666666666666667,0.9665831244778612,1.0
HUST_Gearbox,Diagnosis,Cond_L3_VS_0_40_0,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_L4_VS_0_40_0,Random Forest,1.0,1.0,0.0
