Exp Strategy,Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
0_Baseline,HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,MLP (TL),0.6666666666666666,0.5367686527106817,0.9183333333333333
0_Baseline,HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,TABNET (TL),0.6666666666666666,0.5341880341880342,0.9983333333333334
0_Baseline,HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,MLP (TL),0.8333333333333334,0.8222222222222223,0.9616666666666666
0_Baseline,HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,TABNET (TL),0.9,0.8976982097186701,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,MLP (TL),0.7000000000000001,0.6238244514106583,0.9666666666666667
0_Baseline,HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,TABNET (TL),0.9333333333333332,0.9326599326599326,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_L3_VS_0_40_0,MLP (TL),0.7666666666666666,0.7340930674264007,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_L3_VS_0_40_0,TABNET (TL),0.7666666666666666,0.7340930674264007,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_L4_VS_0_40_0,MLP (TL),0.9333333333333332,0.9326599326599326,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_L4_VS_0_40_0,TABNET (TL),0.9,0.8976982097186701,1.0
0_Baseline,CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,MLP (TL),0.3666666666666667,0.3292847503373819,0.5516666666666666
0_Baseline,CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,TABNET (TL),0.5,0.4000000000000001,0.8333333333333334
0_Baseline,CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,MLP (TL),0.35,0.2206060606060606,0.0
0_Baseline,CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,TABNET (TL),0.1,0.06060606060606061,0.0
0_Baseline,CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,MLP (TL),0.5833333333333334,0.5252525252525252,0.8035714285714285
0_Baseline,CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,TABNET (TL),0.75,0.7565217391304347,1.0
0_Baseline,CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,MLP (TL),0.8666666666666667,0.8611111111111112,1.0
0_Baseline,CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,TABNET (TL),0.8166666666666668,0.8016677935542033,0.9733333333333333
0_Baseline,CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,MLP (TL),0.5,0.42122719734660025,0.9034313725490195
0_Baseline,CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,TABNET (TL),0.5880952380952381,0.5688995215311005,0.7380952380952381
0_Baseline,CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,MLP (TL),0.7000000000000001,0.6904761904761906,0.9383333333333334
0_Baseline,CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,TABNET (TL),0.8333333333333334,0.8174603174603173,0.9874999999999999
0_Baseline,CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,MLP (TL),0.35000000000000003,0.3698924731182796,0.7174999999999999
0_Baseline,CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,TABNET (TL),0.5,0.4000000000000001,0.9162500000000001
0_Baseline,CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,MLP (TL),0.31666666666666665,0.18357487922705315,0.5804166666666667
0_Baseline,CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,TABNET (TL),0.3666666666666667,0.3065861374748346,0.66
0_Baseline,CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,MLP (TL),0.5833333333333334,0.5606837606837606,0.8516666666666667
0_Baseline,CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,TABNET (TL),0.6166666666666667,0.5844653430860327,0.8779166666666667
0_Baseline,CWRU_48k,Diagnosis,Load_3HP_Sev_0.007,MLP (TL),0.85,0.8420013166556947,0.98375
0_Baseline,CWRU_48k,Diagnosis,Load_3HP_Sev_0.007,TABNET (TL),0.5,0.4044117647058824,0.82
0_Baseline,CWRU_48k,Diagnosis,Load_3HP_Sev_0.014,MLP (TL),0.3666666666666667,0.2927873678576208,0.47750000000000004
0_Baseline,CWRU_48k,Diagnosis,Load_3HP_Sev_0.014,TABNET (TL),0.5833333333333334,0.5690172003760854,0.8429166666666666
