Dataset,Task,Fold,Model,Bal Acc,Macro F1,ROC-AUC
UORED,Detection,Group_E,SVM (RBF),0.8671875,0.7901234567901234,0.98251953125
UORED,Detection,Group_E,FT-Transformer,0.9265625,0.8719346049046321,1.0
UORED,Detection,Group_E,TabNet,1.0,1.0,1.0
UORED,Diagnosis,Group_A,Random Forest,0.5825,0.5254852997731895,0.873138671875
UORED,Diagnosis,Group_A,SVM (RBF),0.64,0.6234799570000384,0.92471640625
UORED,Diagnosis,Group_A,FT-Transformer,0.65125,0.6378173677311549,0.8683484374999999
UORED,Diagnosis,Group_A,TabNet,0.6875,0.6754135318970788,0.8935820312499999
UORED,Diagnosis,Group_B,Random Forest,0.6699999999999999,0.6509297304949478,0.9469734375
UORED,Diagnosis,Group_B,SVM (RBF),0.725,0.718979379385744,0.90178828125
UORED,Diagnosis,Group_B,FT-Transformer,0.8387499999999999,0.8229614011314578,0.9817875
UORED,Diagnosis,Group_B,TabNet,0.77125,0.7376075917190036,0.9489703125
UORED,Diagnosis,Group_C,Random Forest,0.625,0.5722603971374608,0.8522484374999999
UORED,Diagnosis,Group_C,SVM (RBF),0.5925,0.5311534887836822,0.8976546875
UORED,Diagnosis,Group_C,FT-Transformer,0.35,0.3173395445134576,0.667375
UORED,Diagnosis,Group_C,TabNet,0.48,0.4257496264978607,0.77183671875
UORED,Diagnosis,Group_D,Random Forest,0.5287499999999999,0.4535726674625523,0.8315214843749998
UORED,Diagnosis,Group_D,SVM (RBF),0.6024999999999999,0.564975468975469,0.8981265624999999
UORED,Diagnosis,Group_D,FT-Transformer,0.5325,0.5061902741055553,0.7961179687500001
UORED,Diagnosis,Group_D,TabNet,0.7175,0.6816484626543378,0.8935062500000001
UORED,Diagnosis,Group_E,Random Forest,0.5325,0.5105635322644121,0.891828125
UORED,Diagnosis,Group_E,SVM (RBF),0.54,0.5127043651225154,0.8846117187500001
UORED,Diagnosis,Group_E,FT-Transformer,0.5199999999999999,0.5177103581450684,0.8051890624999999
UORED,Diagnosis,Group_E,TabNet,0.69875,0.6249377790443621,0.9192031249999999
