Model,Bal Acc,F1 (Anomaly),ROC-AUC,Dataset,Test Condition
One-Class SVM,0.35,0.6363636363636364,0.425,HUST_Gearbox,Cond_35_4
AE (Média + 2σ),0.25,0.5,0.41000000000000003,HUST_Gearbox,Cond_35_4
AE (Percentil 99),0.3,0.5128205128205128,0.41000000000000003,HUST_Gearbox,Cond_35_4
AE (Mediana + 3*MAD),0.425,0.723404255319149,0.41000000000000003,HUST_Gearbox,Cond_35_4
Isolation Forest,0.75,0.6666666666666666,0.5,HUST_Gearbox,Cond_40_0
One-Class SVM,0.925,0.95,0.9850000000000001,HUST_Gearbox,Cond_40_0
AE (Média + 2σ),0.75,0.6666666666666666,0.9849999999999999,HUST_Gearbox,Cond_40_0
AE (Percentil 99),0.75,0.6666666666666666,0.9849999999999999,HUST_Gearbox,Cond_40_0
AE (Mediana + 3*MAD),0.925,0.95,0.9849999999999999,HUST_Gearbox,Cond_40_0
Isolation Forest,0.75,0.6666666666666666,0.9099999999999999,HUST_Gearbox,Cond_40_1
One-Class SVM,0.95,0.975609756097561,1.0,HUST_Gearbox,Cond_40_1
AE (Média + 2σ),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_40_1
AE (Percentil 99),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_40_1
AE (Mediana + 3*MAD),0.95,0.975609756097561,1.0,HUST_Gearbox,Cond_40_1
Isolation Forest,0.75,0.6666666666666666,0.5549999999999999,HUST_Gearbox,Cond_40_2
One-Class SVM,0.6,0.8333333333333334,0.79,HUST_Gearbox,Cond_40_2
AE (Média + 2σ),0.7,0.6451612903225806,0.73,HUST_Gearbox,Cond_40_2
AE (Percentil 99),0.75,0.6666666666666666,0.73,HUST_Gearbox,Cond_40_2
AE (Mediana + 3*MAD),0.6,0.8333333333333334,0.73,HUST_Gearbox,Cond_40_2
Isolation Forest,0.75,0.6666666666666666,0.7450000000000001,HUST_Gearbox,Cond_40_3
One-Class SVM,0.95,0.975609756097561,1.0,HUST_Gearbox,Cond_40_3
AE (Média + 2σ),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_40_3
AE (Percentil 99),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_40_3
AE (Mediana + 3*MAD),1.0,1.0,1.0,HUST_Gearbox,Cond_40_3
Isolation Forest,0.75,0.6666666666666666,0.585,HUST_Gearbox,Cond_40_4
One-Class SVM,0.55,0.8163265306122449,0.6,HUST_Gearbox,Cond_40_4
AE (Média + 2σ),0.55,0.5882352941176471,0.63,HUST_Gearbox,Cond_40_4
AE (Percentil 99),0.6,0.6060606060606061,0.63,HUST_Gearbox,Cond_40_4
AE (Mediana + 3*MAD),0.6,0.8333333333333334,0.63,HUST_Gearbox,Cond_40_4
Isolation Forest,0.725,0.6206896551724138,1.0,HUST_Gearbox,Cond_L0_VS_0_40_0
One-Class SVM,0.75,0.8888888888888888,1.0,HUST_Gearbox,Cond_L0_VS_0_40_0
AE (Média + 2σ),0.95,0.9473684210526315,1.0,HUST_Gearbox,Cond_L0_VS_0_40_0
AE (Percentil 99),0.7,0.5714285714285714,1.0,HUST_Gearbox,Cond_L0_VS_0_40_0
AE (Mediana + 3*MAD),0.85,0.9302325581395349,1.0,HUST_Gearbox,Cond_L0_VS_0_40_0
Isolation Forest,0.65,0.46153846153846156,1.0,HUST_Gearbox,Cond_L1_VS_0_40_0
One-Class SVM,1.0,1.0,1.0,HUST_Gearbox,Cond_L1_VS_0_40_0
AE (Média + 2σ),0.825,0.7878787878787878,1.0,HUST_Gearbox,Cond_L1_VS_0_40_0
AE (Percentil 99),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_L1_VS_0_40_0
AE (Mediana + 3*MAD),0.9,0.9523809523809523,1.0,HUST_Gearbox,Cond_L1_VS_0_40_0
Isolation Forest,0.7,0.5714285714285714,1.0,HUST_Gearbox,Cond_L2_VS_0_40_0
One-Class SVM,0.75,0.8888888888888888,1.0,HUST_Gearbox,Cond_L2_VS_0_40_0
AE (Média + 2σ),0.95,0.9473684210526315,1.0,HUST_Gearbox,Cond_L2_VS_0_40_0
