Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
HUST_Gearbox,Diagnosis,Cond_20_2,Multi-Head DL (MLP),0.7000000000000001,0.6238244514106583,1.0
HUST_Gearbox,Diagnosis,Cond_20_2,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,0.9816666666666668
HUST_Gearbox,Diagnosis,Cond_20_3,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_20_3,SVM (RBF),0.6666666666666666,0.6632996632996633,0.0
HUST_Gearbox,Diagnosis,Cond_20_3,Multi-Head DL (MLP),0.6666666666666666,0.5555555555555555,0.7516666666666666
HUST_Gearbox,Diagnosis,Cond_20_3,Multi-Head DL (TABNET),0.4666666666666666,0.41269841269841273,0.6416666666666666
HUST_Gearbox,Diagnosis,Cond_20_4,Random Forest,0.6666666666666666,0.5555555555555555,0.0
HUST_Gearbox,Diagnosis,Cond_20_4,SVM (RBF),0.43333333333333335,0.4202898550724638,0.0
HUST_Gearbox,Diagnosis,Cond_20_4,Multi-Head DL (MLP),0.4000000000000001,0.4000000000000001,0.6716666666666665
HUST_Gearbox,Diagnosis,Cond_20_4,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,0.6749999999999999
HUST_Gearbox,Diagnosis,Cond_25_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_25_0,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_25_0,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_0,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,1.0
HUST_Gearbox,Diagnosis,Cond_25_1,Random Forest,0.9,0.8976982097186701,0.0
HUST_Gearbox,Diagnosis,Cond_25_1,SVM (RBF),0.9666666666666667,0.7368421052631579,0.0
HUST_Gearbox,Diagnosis,Cond_25_1,Multi-Head DL (MLP),0.9666666666666667,0.9665831244778613,1.0
HUST_Gearbox,Diagnosis,Cond_25_1,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_25_2,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_25_2,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_2,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,1.0
HUST_Gearbox,Diagnosis,Cond_25_3,Random Forest,0.9,0.8976982097186701,0.0
HUST_Gearbox,Diagnosis,Cond_25_3,SVM (RBF),0.8333333333333334,0.8222222222222223,0.0
HUST_Gearbox,Diagnosis,Cond_25_3,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_3,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_4,Random Forest,0.6666666666666666,0.5555555555555555,0.0
HUST_Gearbox,Diagnosis,Cond_25_4,SVM (RBF),0.7333333333333334,0.6825396825396824,0.0
HUST_Gearbox,Diagnosis,Cond_25_4,Multi-Head DL (MLP),0.8666666666666667,0.8611111111111112,1.0
HUST_Gearbox,Diagnosis,Cond_25_4,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,0.8933333333333332
HUST_Gearbox,Diagnosis,Cond_30_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_0,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_0,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_0,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_1,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_1,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_1,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_1,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_2,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_2,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_2,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_3,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_3,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_3,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_3,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_4,Random Forest,1.0,1.0,0.0
