Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
HUST_Gearbox,Detection,Cond_40_1,SVM (RBF),0.85,0.9302325581395349,1.0
HUST_Gearbox,Detection,Cond_40_1,Hybrid DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_40_1,Hybrid DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_40_2,Random Forest,1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_40_2,SVM (RBF),0.5,0.8,0.9849999999999999
HUST_Gearbox,Detection,Cond_40_2,Hybrid DL (MLP),0.75,0.8888888888888888,1.0
HUST_Gearbox,Detection,Cond_40_2,Hybrid DL (TABNET),0.9,0.9523809523809523,1.0
HUST_Gearbox,Detection,Cond_40_3,Random Forest,1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_40_3,SVM (RBF),0.7,0.8695652173913043,1.0
HUST_Gearbox,Detection,Cond_40_3,Hybrid DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_40_3,Hybrid DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_40_4,Random Forest,1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_40_4,SVM (RBF),0.65,0.851063829787234,1.0
HUST_Gearbox,Detection,Cond_40_4,Hybrid DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_40_4,Hybrid DL (TABNET),0.95,0.9473684210526315,1.0
HUST_Gearbox,Detection,Cond_L0_VS_0_40_0,Random Forest,1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_L0_VS_0_40_0,SVM (RBF),1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_L0_VS_0_40_0,Hybrid DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_L0_VS_0_40_0,Hybrid DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_L1_VS_0_40_0,Random Forest,1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_L1_VS_0_40_0,SVM (RBF),0.875,0.8571428571428571,0.97
HUST_Gearbox,Detection,Cond_L1_VS_0_40_0,Hybrid DL (MLP),0.925,0.918918918918919,1.0
HUST_Gearbox,Detection,Cond_L1_VS_0_40_0,Hybrid DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_L2_VS_0_40_0,Random Forest,1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_L2_VS_0_40_0,SVM (RBF),0.95,0.975609756097561,0.98
HUST_Gearbox,Detection,Cond_L2_VS_0_40_0,Hybrid DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_L2_VS_0_40_0,Hybrid DL (TABNET),0.95,0.975609756097561,1.0
HUST_Gearbox,Detection,Cond_L3_VS_0_40_0,Random Forest,1.0,1.0,1.0
