Target Dataset,Task,Test Condition,Source Combo,Model,Bal Acc,Macro F1,ROC-AUC
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + UORED + Electric_Motor,Multi-Head DL (TABNET),0.5,0.425,0.7669642857142858
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.375,0.3333333333333333,0.7758928571428572
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + HUST + PU,Multi-Head DL (TABNET),0.05,0.08041958041958042,0.6433928571428571
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + HUST + UORED,Multi-Head DL (TABNET),0.475,0.36979166666666663,0.8167857142857142
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + HUST + Mechanical_Gear,Multi-Head DL (TABNET),0.5,0.42401960784313725,0.8346428571428571
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + HUST + Electric_Motor,Multi-Head DL (TABNET),0.3875,0.319023569023569,0.6423214285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + PU + UORED,Multi-Head DL (TABNET),0.4875,0.37329931972789115,0.75
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + PU + Mechanical_Gear,Multi-Head DL (TABNET),0.6,0.48549478535047297,0.7207142857142858
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + PU + Electric_Motor,Multi-Head DL (TABNET),0.475,0.4175531914893617,0.8398214285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + UORED + Mechanical_Gear,Multi-Head DL (TABNET),0.4375,0.3787878787878788,0.7610714285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + UORED + Electric_Motor,Multi-Head DL (TABNET),0.3625,0.288135593220339,0.8198214285714285
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.325,0.29054054054054057,0.7714285714285715
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST + PU + UORED,Multi-Head DL (TABNET),0.5,0.42401960784313725,0.7941071428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST + PU + Mechanical_Gear,Multi-Head DL (TABNET),0.3125,0.23204022988505746,0.7285714285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST + PU + Electric_Motor,Multi-Head DL (TABNET),0.45,0.40691489361702127,0.8005357142857144
