Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
HUST_Gearbox,Diagnosis,Cond_35_0,SVM (RBF),0.9666666666666667,0.9665831244778612,0.0
HUST_Gearbox,Diagnosis,Cond_35_0,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_0,Multi-Head DL (TABNET),0.8666666666666667,0.8611111111111112,1.0
HUST_Gearbox,Diagnosis,Cond_35_1,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_1,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_1,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_1,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_2,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_2,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_2,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_3,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_3,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_3,Multi-Head DL (MLP),0.9666666666666667,0.9665831244778613,1.0
HUST_Gearbox,Diagnosis,Cond_35_3,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_4,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_4,SVM (RBF),0.8666666666666667,0.6875,0.0
HUST_Gearbox,Diagnosis,Cond_35_4,Multi-Head DL (MLP),0.6666666666666666,0.5333333333333333,0.8566666666666666
HUST_Gearbox,Diagnosis,Cond_35_4,Multi-Head DL (TABNET),0.8333333333333334,0.8174603174603173,0.9666666666666667
HUST_Gearbox,Diagnosis,Cond_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_0,SVM (RBF),0.9333333333333332,0.9326599326599326,0.0
HUST_Gearbox,Diagnosis,Cond_40_0,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_0,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_1,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_1,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_1,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_1,Multi-Head DL (TABNET),0.9666666666666667,0.9665831244778613,1.0
HUST_Gearbox,Diagnosis,Cond_40_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_2,SVM (RBF),0.9333333333333332,0.7222222222222222,0.0
HUST_Gearbox,Diagnosis,Cond_40_2,Multi-Head DL (MLP),0.9666666666666667,0.9665831244778613,1.0
HUST_Gearbox,Diagnosis,Cond_40_2,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_3,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_3,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_3,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_3,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_4,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_4,SVM (RBF),0.9333333333333332,0.7222222222222222,0.0
HUST_Gearbox,Diagnosis,Cond_40_4,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_4,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,SVM (RBF),0.9333333333333332,0.7222222222222222,0.0
HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,Multi-Head DL (MLP),0.9333333333333332,0.9326599326599326,1.0
HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,Multi-Head DL (TABNET),0.6333333333333333,0.5648622981956315,0.9616666666666668
HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,SVM (RBF),0.8333333333333334,0.5333333333333333,0.0
HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,Multi-Head DL (MLP),0.9666666666666667,0.9665831244778612,1.0
HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,Multi-Head DL (TABNET),0.8333333333333334,0.8222222222222223,1.0
HUST_Gearbox,Diagnosis,Cond_L3_VS_0_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L3_VS_0_40_0,SVM (RBF),0.9666666666666667,0.9665831244778612,0.0
HUST_Gearbox,Diagnosis,Cond_L3_VS_0_40_0,Multi-Head DL (MLP),0.9666666666666667,0.9665831244778612,0.9966666666666667
HUST_Gearbox,Diagnosis,Cond_L3_VS_0_40_0,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_L4_VS_0_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L4_VS_0_40_0,SVM (RBF),0.9333333333333332,0.7103174603174602,0.0
HUST_Gearbox,Diagnosis,Cond_L4_VS_0_40_0,Multi-Head DL (MLP),0.6666666666666666,0.5555555555555555,1.0
HUST_Gearbox,Diagnosis,Cond_L4_VS_0_40_0,Multi-Head DL (TABNET),0.8666666666666667,0.8611111111111112,1.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,Random Forest,0.39999999999999997,0.17460317460317462,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,SVM (RBF),0.49999999999999994,0.2738888888888889,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,Multi-Head DL (MLP),0.43333333333333335,0.333870101986044,0.7666666666666666
CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,Multi-Head DL (TABNET),0.6666666666666666,0.6501089324618736,0.84
CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,Random Forest,0.85,0.8465473145780051,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,SVM (RBF),0.4,0.20512820512820515,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,Multi-Head DL (MLP),0.4,0.3333333333333333,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,Multi-Head DL (TABNET),0.3,0.25,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,Random Forest,0.9166666666666666,0.9365079365079364,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,SVM (RBF),0.6666666666666666,0.3904761904761905,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,Multi-Head DL (MLP),0.75,0.797791580400276,0.9166666666666666
CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,Multi-Head DL (TABNET),0.7166666666666667,0.653968253968254,0.8488095238095239
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,Random Forest,0.9833333333333334,0.9833229101521784,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,SVM (RBF),0.8166666666666668,0.8016677935542033,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,Multi-Head DL (MLP),0.6666666666666666,0.5555555555555555,0.9754166666666667
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,Multi-Head DL (TABNET),0.5166666666666667,0.4158996932106176,0.7545833333333333
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,Random Forest,0.9500000000000001,0.9497171590194845,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,SVM (RBF),0.7214285714285715,0.7212484993997599,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,Multi-Head DL (MLP),0.3333333333333333,0.2839657282741738,0.654656862745098
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,Multi-Head DL (TABNET),0.65,0.6508047936619366,0.8116946778711484
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,Random Forest,1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,SVM (RBF),1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,Multi-Head DL (MLP),0.9666666666666667,0.9665831244778613,1.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,Multi-Head DL (TABNET),0.9833333333333334,0.9833229101521784,1.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,Random Forest,1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,SVM (RBF),0.7833333333333333,0.7734344933751168,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,Multi-Head DL (MLP),0.8333333333333334,0.8222222222222223,0.75
